timestamp,T_STEPS,flux,seed,lz_rate,RR_iqr0.1,RR_iqr0.3,RR_iqr0.5
2025-11-10 17:32:37,9000,0.0,5,0.11288888888888887,0.16020851394909413,0.3555831943981327,0.5091637212404134
2025-11-10 17:32:38,9000,0.0002,5,0.11999999999999998,0.16064421473824608,0.3555291763921307,0.5102325219517617
2025-11-10 17:32:38,9000,0.0008,5,0.1173333333333333,0.16669423141047016,0.36207224630432366,0.5119161942869845
2025-11-10 17:16:42,9000,0.0,7,0.1182222222222222,0.16909436478826276,0.3607451372679782,0.5132484161387129
2025-11-10 17:16:42,9000,0.0002,7,0.10933333333333331,0.16534644881627208,0.3577965988662888,0.5119648771812827
2025-11-10 17:16:43,9000,0.0008,7,0.12444444444444441,0.16219050794709347,0.35776058686228746,0.5091214849394242
2025-11-10 17:32:38,9000,0.0,11,0.11911111111111108,0.16027409136378792,0.3582545292875403,0.5094687117928198
2025-11-10 17:32:38,9000,0.0002,11,0.11999999999999998,0.1596638879626542,0.35558097143492273,0.5085117261309325
2025-11-10 17:32:38,9000,0.0008,11,0.12799999999999997,0.16036634433700123,0.35420740246748916,0.5082282983216628
2025-11-10 17:16:42,9000,0.0,21,0.10666666666666665,0.1715025008336112,0.3672588640657997,0.5167271312659776
2025-11-10 17:16:42,9000,0.0002,21,0.11199999999999997,0.16332733133266644,0.3609296432144048,0.5082483049905524
2025-11-10 17:16:43,9000,0.0008,21,0.12444444444444441,0.15971434922752029,0.35499610981438257,0.5031955096143159
2025-11-10 17:16:42,9000,0.0,37,0.10755555555555553,0.16644726019784373,0.36204846059797713,0.5143034344781594
2025-11-10 17:16:43,9000,0.0002,37,0.11377777777777776,0.16656507724797154,0.3614224741580527,0.5137901522729799
2025-11-10 17:16:43,9000,0.0008,37,0.10844444444444443,0.1632710903634545,0.35708302767589195,0.5112950983661221
2025-11-10 17:32:38,9000,0.0,101,0.11555555555555554,0.16088918528398355,0.3551468267200178,0.509623207735912
2025-11-10 17:32:38,9000,0.0002,101,0.1173333333333333,0.15887784817161277,0.3557921529398688,0.5091679448705124
2025-11-10 17:32:38,9000,0.0008,101,0.12444444444444441,0.16232499722129598,0.35784439257530287,0.5117007891519395
