flux,seed,start,lz,RR_iqr0.1,RR_iqr0.3,RR_iqr0.5
0.0,7,0,0.3599999999999991,0.11401002506265664,0.28596491228070176,0.4232456140350877
0.0,7,200,0.3599999999999991,0.1699874686716792,0.3699874686716792,0.5087844611528822
0.0,7,400,0.3199999999999992,0.27464912280701753,0.43604010025062656,0.5171303258145363
0.0,7,600,0.4399999999999989,0.11588972431077695,0.29754385964912283,0.4430827067669173
0.0,7,800,0.33999999999999914,0.17825814536340853,0.3594235588972431,0.4921052631578947
0.0,7,1000,0.379999999999999,0.24354636591478696,0.4375438596491228,0.5406641604010025
0.0,7,1200,0.41999999999999893,0.11888471177944862,0.2917042606516291,0.42604010025062655
0.0,7,1400,0.33999999999999914,0.15773182957393483,0.3505263157894737,0.4980952380952381
0.0,7,1600,0.39999999999999897,0.18833333333333332,0.3815538847117794,0.5149248120300752
0.0,7,1800,0.3599999999999991,0.11593984962406015,0.28600250626566415,0.4141604010025063
0.0,7,2000,0.33999999999999914,0.1456140350877193,0.3430200501253133,0.49897243107769423
0.0,7,2200,0.41999999999999893,0.14751879699248122,0.3194235588972431,0.44358395989974936
0.0,7,2400,0.39999999999999897,0.16778195488721803,0.3712907268170426,0.5138095238095238
0.0,7,2600,0.41999999999999893,0.13794486215538848,0.3294486215538847,0.48948621553884714
0.0,7,2800,0.379999999999999,0.15236842105263157,0.3331328320802005,0.47352130325814534
0.0,7,3000,0.39999999999999897,0.23223057644110276,0.45902255639097744,0.5445363408521303
0.0,7,3200,0.3599999999999991,0.14284461152882205,0.31284461152882204,0.4614160401002506
0.0,7,3400,0.3599999999999991,0.1557644110275689,0.3533583959899749,0.49580200501253135
0.0,7,3600,0.3599999999999991,0.2741478696741855,0.447593984962406,0.5294110275689223
0.0,7,3800,0.3599999999999991,0.1305889724310777,0.30852130325814536,0.4388847117794486
0.0,7,4000,0.3599999999999991,0.15655388471177945,0.3503132832080201,0.4944611528822055
0.0,7,4200,0.3199999999999992,0.2914661654135338,0.42735588972431077,0.5120802005012531
0.0,7,4400,0.39999999999999897,0.11239348370927318,0.2848872180451128,0.42102756892230575
0.0,7,4600,0.379999999999999,0.17421052631578948,0.37030075187969924,0.5084962406015038
0.0,7,4800,0.2799999999999993,0.28364661654135337,0.4321177944862155,0.5151503759398496
0.0,7,5000,0.379999999999999,0.1230827067669173,0.30543859649122806,0.4490601503759398
0.0,7,5200,0.33999999999999914,0.1788095238095238,0.36392230576441104,0.49181704260651626
0.0,7,5400,0.3599999999999991,0.24023809523809525,0.4361528822055138,0.5334085213032581
0.0,7,5600,0.39999999999999897,0.11728070175438597,0.2950877192982456,0.43234335839599
0.0,7,5800,0.33999999999999914,0.16273182957393484,0.35278195488721803,0.4980325814536341
0.0,7,6000,0.41999999999999893,0.19610275689223058,0.38730576441102754,0.5187593984962406
0.0,7,6200,0.41999999999999893,0.11947368421052632,0.2899874686716792,0.4156766917293233
0.0,7,6400,0.3599999999999991,0.1407268170426065,0.33515037593984964,0.49096491228070177
0.0,7,6600,0.39999999999999897,0.14468671679197995,0.3162155388471178,0.4381578947368421
0.0,7,6800,0.39999999999999897,0.16228070175438597,0.36462406015037596,0.5012907268170426
0.0,7,7000,0.33999999999999914,0.13602756892230577,0.32551378446115287,0.48275689223057644
0.0,7,7200,0.379999999999999,0.14537593984962405,0.3269298245614035,0.461203007518797
0.0,7,7400,0.39999999999999897,0.23091478696741854,0.45837092731829576,0.5470426065162908
0.0,7,7600,0.3199999999999992,0.14402255639097744,0.318671679197995,0.46978696741854636
0.0,7,7800,0.3599999999999991,0.15573934837092732,0.3518170426065163,0.4963659147869674
0.0,7,8000,0.3599999999999991,0.26914786967418547,0.44744360902255637,0.5288220551378446
0.0,7,8200,0.3599999999999991,0.13644110275689222,0.3190726817042607,0.4470050125313283
0.0,7,8400,0.379999999999999,0.1563533834586466,0.3538095238095238,0.4948496240601504
0.0,7,8600,0.3199999999999992,0.2957142857142857,0.4305263157894737,0.5109022556390977
0.0,21,0,0.379999999999999,0.1193609022556391,0.29927318295739347,0.43566416040100253
0.0,21,200,0.33999999999999914,0.170062656641604,0.36703007518796993,0.5020676691729323
0.0,21,400,0.3199999999999992,0.2762907268170426,0.43358395989974935,0.5155012531328321
0.0,21,600,0.4399999999999989,0.11927318295739349,0.2968671679197995,0.44456140350877194
0.0,21,800,0.33999999999999914,0.18032581453634086,0.3642606516290727,0.49469924812030075
0.0,21,1000,0.3599999999999991,0.239874686716792,0.43840852130325814,0.5379323308270677
0.0,21,1200,0.41999999999999893,0.11887218045112782,0.2935588972431078,0.4253759398496241
