flux,seed,DET,Lmax
0.0,7,0.9278702529925693,106.0
0.0,21,0.9269026913890629,105.0
0.0,37,0.9289899307879258,107.0
0.0002,7,0.9280294304137678,94.0
0.0002,21,0.9269807804281784,97.0
0.0002,37,0.9260056205520989,94.0
0.0008,7,0.9296438272652069,74.0
0.0008,21,0.9272979444385872,74.0
0.0008,37,0.9272310421919182,74.0
